movie_name,category,movie_rate,description,country,date,duration,movie_link
Tyler Perry's Divorce in the Black,"Drama, Mystery, Thriller",4.5,"Ava, a young bank professional is devastated when her husband Dallas abandons a marriage she is determined to fight for until fate intervenes, revealing Dallas' wicked deeds that have trashed their marriage, and once upon a time sabotaged Ava's destiny to be loved by her true soulmate.",United States of America,2024,121min,https://goku.sx/movie/watch-tyler-perrys-divorce-in-the-black-111247
Kuyang,"Horror, Drama, Thriller",5.4,"Bimo need to make a decision to change his fate in Muara Tapah Village or he will regret for the rest of his life. Now, he has to face the reality, a creature allied with the devil is targeting his wife and future child. There were many regrets piled up in his heart. He also can no longer decide who is worthy of trust. Pak Kasno and Pak Tingen, his teaching friends? Mr. Village Head and his wife? Or the midwife who has been helping his wife?",N/A,2024,98min,https://goku.sx/movie/watch-kuyang-111244
Something Useful,Drama,7.6,"Leyla, a lawyer and a poet, takes the long-distance train to attend her high school reunion dinner. On the train, she meets Canan, a young nursing student in distress. As the conversation develops, Leyla learns that Canan is travelling to assist with the suicide of a paralysed man, Yavuz, who wants to die. At the end of the long over- night trip, surrounded by the stories of people both on and off the train, Leyla decides to accompany Canan on her difficult visit.","France, Germany, Netherlands",2017,107min,https://goku.sx/movie/watch-something-useful-111241
"Isa Pa, with Feelings","Romance, Drama, Comedy",7.8,"Despite their differences, an aspiring architect falls for her deaf neighbor, who teaches her basic sign language.",N/A,2019,102min,https://goku.sx/movie/watch-isa-pa-with-feelings-111238
The Cigarette,Horror,?,Deadly laced cigarettes cause chaos and death in New York City.,United States of America,2024,82min,https://goku.sx/movie/watch-the-cigarette-111235
The Garfield Movie,"Animation, Comedy, Family",6,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.","Hong Kong, India, United Kingdom, United States of America",2024,101min,https://goku.sx/movie/watch-the-garfield-movie-108736
Dragonkeeper,"Action, Adventure, Animation, Family, Fantasy",5.6,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.","China, Spain",2024,99min,https://goku.sx/movie/watch-dragonkeeper-111172
Sam Morril: You've Changed,Comedy,7.2,"Sam Morril, in his distinct laid-back style, effortlessly riffs on the worst person he's ever dated, the complications of getting older, and his perspective on everything from cable news to the perils of social media in this punchline-heavy comedy special.",United States of America,2024,51min,https://goku.sx/movie/watch-sam-morril-youve-changed-111178
The Exorcism,"Horror, Thriller",4.1,"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",United States of America,2024,95min,https://goku.sx/movie/watch-the-exorcism-111181
The Pastor,"Action, Crime, Drama",?,"In an almost-forgotten part of town overrun by a ruthless gang infestation, a community is struggling with their faith and belief in God as they see their neighborhoods torn apart and their youth targeted for recruitment by the gangs. Even the local church struggles just to keep the lights on because of its barely-existent congregation's lack of enthusiasm. However, all this begins to change when a mysterious pastor arrives to lead the church. With his faith in hand and God by his side, Pastor Miguel sets out to inspire the community into action, empower the youth, and ultimately to re-ignite the community's faith in God.",United States of America,2024,88min,https://goku.sx/movie/watch-the-pastor-111166
Fresh Kills,Drama,6.9,"The late 1980s/early 1990s Staten Island to vivid life through the lens of Rose Larusso, an inquisitive young woman who discovers her father is an emerging mafia kingpin. Rose’s growing desire to break free from the path set before her soon threatens her existence and alienates her from her closest allies: her mother, aunt and sister.",United States of America,2024,120min,https://goku.sx/movie/watch-fresh-kills-110398
